,time,Wochentag,Stunde,Anzahl,AVG_flow,AVG_speed
0,2021-11-14 01:03:00+01:00,0,00,336,293.39285714285717,66.98035750625002
1,2021-11-14 02:03:00+01:00,0,01,336,200.0,65.50178597440478
2,2021-11-14 03:03:00+01:00,0,02,330,163.8181818181818,62.94909092212122
3,2021-11-07 04:53:00+01:00,0,03,444,164.59459459459458,60.31644160653154
4,2021-11-07 05:00:00+01:00,0,04,1571,218.87969446212603,62.639083428262126
5,2021-11-14 06:00:00+01:00,0,05,1546,367.7619663648124,65.83861596435955
6,2021-11-07 07:53:00+01:00,0,06,1463,522.241968557758,67.99494207887896
7,2021-11-07 08:04:00+01:00,0,07,330,685.2727272727273,68.14393952393938
8,2021-11-07 09:04:00+01:00,0,08,336,943.9285714285714,67.62708336845236
9,2021-11-07 10:04:00+01:00,0,09,336,1176.607142857143,66.83630947857144
10,2021-11-07 11:04:00+01:00,0,10,336,1353.0357142857142,66.2857144711309
11,2021-11-07 12:04:00+01:00,0,11,336,1376.607142857143,65.89553575386905
12,2021-11-07 13:04:00+01:00,0,12,336,1438.9285714285713,66.07648806488099
13,2021-11-07 14:05:00+01:00,0,13,470,1422.5106382978724,65.97063850553192
14,2021-11-14 15:00:00+01:00,0,14,1616,1434.3564356435643,65.56924517939346
15,2021-11-14 16:00:00+01:00,0,15,1605,1445.1214953271028,62.82542064162002
16,2021-11-07 17:53:00+01:00,0,16,1491,1344.1448692152917,63.05003364983225
17,2021-11-07 18:03:00+01:00,0,17,335,1167.402985074627,65.08059716417908
18,2021-11-07 19:03:00+01:00,0,18,334,953.5329341317365,65.79401200029932
19,2021-11-07 20:03:00+01:00,0,19,336,735.1785714285714,63.768750101488116
20,2021-11-07 21:03:00+01:00,0,20,335,443.1044776119403,50.87999998567166
21,2021-11-07 22:04:00+01:00,0,21,336,152.32142857142858,28.81428577827382
22,2021-11-07 23:04:00+01:00,0,22,336,103.03571428571429,26.73541674315476
23,2021-11-08 00:04:00+01:00,0,23,336,53.75,22.572619155654767
24,2021-11-08 01:04:00+01:00,1,00,336,31.646341463414632,18.62378054237805
25,2021-11-08 02:04:00+01:00,1,01,336,24.62962962962963,16.46512348302469
26,2021-11-08 03:04:00+01:00,1,02,336,40.78549848942598,20.84894265679758
27,2021-11-08 04:04:00+01:00,1,03,467,275.71734475374734,46.54668105631692
28,2021-11-08 05:00:00+01:00,1,04,1697,843.712433706541,63.885268204065916
29,2021-11-08 06:00:00+01:00,1,05,1727,1558.6103068905616,59.69635212061378
30,2021-11-08 07:00:00+01:00,1,06,1635,1563.48623853211,56.53412842652597
31,2021-11-08 08:03:00+01:00,1,07,349,1232.3209169054442,60.530659258739206
32,2021-11-08 09:03:00+01:00,1,08,347,1167.6657060518733,61.892219024495645
33,2021-11-08 10:03:00+01:00,1,09,346,1248.208092485549,63.60144524797689
34,2021-11-08 11:03:00+01:00,1,10,348,1307.5862068965516,65.17672410545978
35,2021-11-08 12:03:00+01:00,1,11,348,1360.8620689655172,65.01379314540237
36,2021-11-08 13:03:00+01:00,1,12,348,1481.551724137931,63.77959763218394
37,2021-11-08 14:03:00+01:00,1,13,491,1439.3890020366598,64.47617092077392
38,2021-11-08 15:00:00+01:00,1,14,1727,1528.8708743485813,59.49525192563972
39,2021-11-08 16:01:00+01:00,1,15,1716,1653.1818181818182,47.491550140227275
40,2021-11-08 17:00:00+01:00,1,16,1596,1699.9248120300751,49.66885964946736
41,2021-11-08 18:03:00+01:00,1,17,348,1412.0689655172414,63.686206980431024
42,2021-11-08 19:03:00+01:00,1,18,348,1006.0344827586207,66.47126440201141
43,2021-11-01 20:13:00+01:00,1,19,353,712.1813031161473,65.67818720084982
44,2021-11-01 21:03:00+01:00,1,20,349,396.8965517241379,45.25316102672413
45,2021-11-01 22:03:00+01:00,1,21,354,155.76271186440678,24.678813700564977
46,2021-11-01 23:03:00+01:00,1,22,359,88.57938718662953,22.767409546239552
47,2021-11-02 00:03:00+01:00,1,23,351,46.666666666666664,19.960683795441597
48,2021-11-02 01:03:00+01:00,2,00,348,25.73913043478261,15.702028987536234
49,2021-11-02 02:03:00+01:00,2,01,345,21.20845921450151,15.525377636555891
50,2021-11-02 03:03:00+01:00,2,02,348,32.551319648093845,18.885337270381232
51,2021-11-02 04:03:00+01:00,2,03,486,302.4691358024691,49.95884788168726
52,2021-11-02 05:00:00+01:00,2,04,1765,868.9455782312925,64.18832210763601
53,2021-11-02 06:00:00+01:00,2,05,1744,1603.2454128440368,59.443520654426486
54,2021-11-02 07:00:00+01:00,2,06,1610,1714.136645962733,58.736335355521824
55,2021-11-02 08:03:00+01:00,2,07,349,1326.189111747851,64.0346706260745
56,2021-11-02 09:03:00+01:00,2,08,346,1217.6878612716764,63.47947984219659
57,2021-11-02 10:03:00+01:00,2,09,347,1191.3544668587897,62.038040257060494
58,2021-11-02 11:03:00+01:00,2,10,345,1281.7391304347825,63.395072483188414
59,2021-11-02 12:03:00+01:00,2,11,350,1338.3428571428572,63.60000002628574
60,2021-11-02 13:03:00+01:00,2,12,359,1424.2896935933147,61.75515324233987
61,2021-11-02 14:03:00+01:00,2,13,504,1395.2380952380952,62.07916673849205
62,2021-11-02 15:00:00+01:00,2,14,1783,1505.2159282108805,56.990577680566396
63,2021-11-02 16:00:00+01:00,2,15,1775,1654.7688838782412,44.448196174261476
64,2021-11-02 17:00:00+01:00,2,16,1656,1683.5507246376812,43.80477054190222
65,2021-11-02 18:03:00+01:00,2,17,360,1434.0,60.61861107583333
66,2021-11-02 19:03:00+01:00,2,18,359,1062.116991643454,65.80557088467967
67,2021-11-02 20:03:00+01:00,2,19,360,762.8333333333334,65.84027787250001
68,2021-11-02 21:03:00+01:00,2,20,358,444.97206703910615,46.97569841955307
69,2021-11-02 22:03:00+01:00,2,21,358,173.29608938547486,25.773184473743022
70,2021-11-02 23:03:00+01:00,2,22,360,107.33333333333333,24.810000072222223
71,2021-11-03 00:03:00+01:00,2,23,351,48.34285714285714,19.738000074571435
72,2021-11-03 01:03:00+01:00,3,00,348,21.03448275862069,14.890229905172413
73,2021-11-03 02:03:00+01:00,3,01,348,20.892857142857142,13.841369026785712
74,2021-11-03 03:03:00+01:00,3,02,348,29.737609329446062,17.277551045189508
75,2021-11-03 04:03:00+01:00,3,03,473,287.4418604651163,48.53530677737844
76,2021-11-03 05:00:00+01:00,3,04,1655,847.1869328493648,66.11572906539611
77,2021-11-03 06:00:00+01:00,3,05,1677,1616.5652951699462,62.74543828759081
78,2021-11-03 07:00:00+01:00,3,06,1560,1659.3461538461538,58.44916664378837
79,2021-11-03 08:03:00+01:00,3,07,336,1295.7142857142858,61.71220243964289
80,2021-11-03 09:03:00+01:00,3,08,336,1245.1785714285713,62.4517857201786
81,2021-11-03 10:03:00+01:00,3,09,336,1300.1785714285713,63.58720244851195
82,2021-11-03 11:03:00+01:00,3,10,336,1393.392857142857,63.870833260119085
83,2021-11-03 12:03:00+01:00,3,11,336,1448.0357142857142,64.27529758392865
84,2021-11-03 13:03:00+01:00,3,12,336,1562.142857142857,62.5758929041667
85,2021-11-03 14:03:00+01:00,3,13,482,1524.149377593361,62.82385895518673
86,2021-11-03 15:00:00+01:00,3,14,1734,1568.3044982698962,55.526297526770506
87,2021-11-03 16:00:00+01:00,3,15,1721,1672.643811737362,43.69302723852988
88,2021-11-03 17:00:00+01:00,3,16,1598,1662.7284105131414,41.64030037639544
89,2021-11-03 18:03:00+01:00,3,17,346,1499.4797687861271,57.9895953124278
90,2021-11-03 19:03:00+01:00,3,18,348,1100.6896551724137,65.50718403965513
91,2021-11-03 20:03:00+01:00,3,19,348,802.7586206896551,65.35574714655174
92,2021-11-03 21:03:00+01:00,3,20,348,487.0689655172414,48.804597658045985
93,2021-11-03 22:03:00+01:00,3,21,348,175.51724137931035,25.798275860344827
94,2021-11-03 23:03:00+01:00,3,22,348,109.44281524926686,22.843401777419352
95,2021-11-04 00:03:00+01:00,3,23,348,51.964285714285715,18.6425595514881
96,2021-11-04 01:03:00+01:00,4,00,348,23.28358208955224,13.216716425074628
97,2021-11-04 02:03:00+01:00,4,01,348,23.925233644859812,13.773520283177568
98,2021-11-04 03:03:00+01:00,4,02,348,37.391304347826086,17.831884113623197
99,2021-11-04 04:03:00+01:00,4,03,487,293.9630390143737,42.787269154414815
100,2021-11-04 05:00:00+01:00,4,04,1776,849.5039458850057,62.97981970631333
101,2021-11-04 06:00:00+01:00,4,05,1797,1612.787979966611,63.209237705397825
102,2021-11-04 07:00:00+01:00,4,06,1670,1706.2994011976048,60.26898195100592
103,2021-11-04 08:03:00+01:00,4,07,360,1342.1666666666667,63.897777933888854
104,2021-11-04 09:03:00+01:00,4,08,359,1221.8941504178274,62.72367677239555
105,2021-11-04 10:03:00+01:00,4,09,352,1259.659090909091,61.16732951704543
106,2021-11-04 11:03:00+01:00,4,10,357,1374.871794871795,62.8267807025641
107,2021-11-04 12:03:00+01:00,4,11,358,1437.9190751445087,64.31156070462431
108,2021-11-04 13:03:00+01:00,4,12,353,1545.3061224489795,63.031487000583
109,2021-11-04 14:03:00+01:00,4,13,508,1518.0708661417323,62.165551194881886
110,2021-11-04 15:00:00+01:00,4,14,1790,1568.6145251396647,56.021787735569774
111,2021-11-04 16:00:00+01:00,4,15,1726,1643.707995365006,42.641019688435726
112,2021-11-04 17:00:00+01:00,4,16,1560,1674.6538461538462,39.04673076194233
113,2021-11-04 18:03:00+01:00,4,17,360,1540.1666666666667,59.20166666805556
114,2021-11-04 19:03:00+01:00,4,18,359,1191.4763231197771,65.04846796880221
115,2021-11-04 20:03:00+01:00,4,19,360,960.5013927576601,64.34930367158773
116,2021-11-04 21:03:00+01:00,4,20,358,603.5393258426966,49.72247202977528
117,2021-11-04 22:03:00+01:00,4,21,360,253.16666666666666,30.12722218777777
118,2021-11-04 23:03:00+01:00,4,22,360,150.66666666666666,28.735000016944433
119,2021-11-05 00:03:00+01:00,4,23,360,75.5,24.763333309444448
120,2021-11-05 01:03:00+01:00,5,00,360,47.166666666666664,22.25638891888889
121,2021-11-05 02:03:00+01:00,5,01,360,34.95652173913044,18.445507304347828
122,2021-11-05 03:03:00+01:00,5,02,348,54.24418604651163,24.284302390406978
123,2021-11-05 04:03:00+01:00,5,03,478,272.510460251046,48.74288712280334
124,2021-11-05 05:00:00+01:00,5,04,1660,760.253164556962,64.58927078583477
125,2021-11-05 06:00:00+01:00,5,05,1674,1472.6881720430108,62.9005377204899
126,2021-11-05 07:00:00+01:00,5,06,1553,1586.5035415325176,60.24900192292978
127,2021-11-05 08:03:00+01:00,5,07,336,1313.9285714285713,62.31696433744049
128,2021-11-05 09:03:00+01:00,5,08,336,1326.0714285714287,63.34107159107144
129,2021-11-05 10:03:00+01:00,5,09,336,1398.5714285714287,63.02529763154767
130,2021-11-05 11:03:00+01:00,5,10,336,1460.7142857142858,63.97916662142853
131,2021-11-05 12:03:00+01:00,5,11,336,1521.0714285714287,64.2297617401786
132,2021-11-05 13:03:00+01:00,5,12,336,1641.7857142857142,61.94791657166667
133,2021-11-05 14:03:00+01:00,5,13,483,1620.745341614907,59.091511413333315
134,2021-11-05 15:00:00+01:00,5,14,1730,1672.300578034682,54.5294797691388
135,2021-11-05 16:00:00+01:00,5,15,1727,1645.5703532136654,40.44759698064276
136,2021-11-05 17:00:00+01:00,5,16,1598,1638.6983729662077,41.23316647274718
137,2021-11-05 18:03:00+01:00,5,17,347,1545.6484149855908,58.72449571273775
138,2021-11-05 19:03:00+01:00,5,18,348,1222.9310344827586,65.18103466091956
139,2021-11-05 20:03:00+01:00,5,19,339,904.6017699115044,64.87699112625371
140,2021-11-05 21:03:00+01:00,5,20,336,765.7142857142857,65.83601195654767
141,2021-11-05 22:03:00+01:00,5,21,335,694.7462686567164,65.38507469492535
142,2021-11-05 23:03:00+01:00,5,22,336,536.7857142857143,65.08392856398807
143,2021-11-06 00:03:00+01:00,5,23,336,350.89285714285717,65.46577408452387
144,2021-11-06 01:03:00+01:00,6,00,336,230.35714285714286,62.5955358589286
145,2021-11-06 02:02:00+01:00,6,01,336,162.85714285714286,60.18035726398811
146,2021-11-06 03:03:00+01:00,6,02,334,138.1437125748503,56.319461115269455
147,2021-11-06 04:53:00+01:00,6,03,458,212.22707423580786,63.92882115895201
148,2021-11-06 05:00:00+01:00,6,04,1709,352.9081334113517,66.52521960011696
149,2021-11-06 06:00:00+01:00,6,05,1688,686.196682464455,68.13122050722758
150,2021-11-06 07:53:00+01:00,6,06,1570,959.0445859872611,67.26898098961779
151,2021-11-06 08:02:00+01:00,6,07,350,1145.6571428571428,67.17828575142855
152,2021-11-06 09:03:00+01:00,6,08,348,1345.344827586207,65.85718412873562
153,2021-11-06 10:03:00+01:00,6,09,348,1544.655172413793,64.86321838247127
154,2021-11-06 11:03:00+01:00,6,10,340,1657.9411764705883,64.32470606705877
155,2021-11-13 12:03:00+01:00,6,11,336,1661.4285714285713,64.09345244374997
156,2021-11-13 13:03:00+01:00,6,12,336,1684.642857142857,64.01607150208332
157,2021-11-06 14:53:00+01:00,6,13,482,1676.7634854771784,64.11099577863074
158,2021-11-06 15:00:00+01:00,6,14,1734,1689.5501730103806,64.33166091724337
159,2021-11-06 16:00:00+01:00,6,15,1714,1696.5577596266044,63.988739759509926
160,2021-11-06 17:53:00+01:00,6,16,1543,1536.0077770576797,64.33026573259875
161,2021-11-06 18:03:00+01:00,6,17,348,1140.344827586207,65.73419536810346
162,2021-11-06 19:03:00+01:00,6,18,347,910.2017291066282,64.01383301959658
163,2021-11-06 20:03:00+01:00,6,19,348,798.5014409221902,64.54870319625358
164,2021-11-06 21:03:00+01:00,6,20,348,747.2413793103449,66.8844829882184
165,2021-11-06 22:04:00+01:00,6,21,348,706.8965517241379,65.96063217183912
166,2021-11-06 23:04:00+01:00,6,22,337,621.5430267062314,66.54213672937674
167,2021-11-14 00:03:00+01:00,6,23,336,433.57142857142856,67.62351224761908
